dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,9.769368,25.578367,9.880044,7.938610,0.340157,0.018622,0.191079
0.010000,9.847346,25.593433,9.959465,7.942014,0.340357,0.019936,0.190625
0.010000,9.925365,25.608469,10.038919,7.945420,0.340569,0.021231,0.190141
0.010000,10.003424,25.623472,10.118407,7.948828,0.340794,0.022514,0.189628
0.010000,10.081525,25.638440,10.197929,7.952238,0.341032,0.023760,0.189084
0.010000,10.159668,25.653371,10.277486,7.955651,0.341282,0.024991,0.188512
0.010000,10.237853,25.668263,10.357077,7.959066,0.341544,0.026202,0.187909
0.010000,10.316081,25.683113,10.436701,7.962484,0.341818,0.027395,0.187276
0.010000,10.394352,25.697918,10.516360,7.965905,0.342103,0.028546,0.186614
0.010000,10.472667,25.712677,10.596054,7.969329,0.342400,0.029661,0.185921
0.010000,10.551026,25.727387,10.675781,7.972757,0.342708,0.030784,0.185199
0.010000,10.629429,25.742045,10.755543,7.976187,0.343026,0.031841,0.184447
0.010000,10.707877,25.756649,10.835339,7.979620,0.343355,0.032864,0.183665
0.010000,10.786371,25.771197,10.915170,7.983057,0.343694,0.033905,0.182853
0.010000,10.864911,25.785687,10.995035,7.986498,0.344042,0.034816,0.182011
0.010000,10.943497,25.800115,11.074934,7.989942,0.344400,0.035808,0.181138
0.010000,11.022129,25.814480,11.154868,7.993389,0.344766,0.036641,0.180236
0.010000,11.100809,25.828779,11.234837,7.996841,0.345142,0.037532,0.179304
0.010000,11.179536,25.843009,11.314840,8.000296,0.345525,0.038332,0.178341
0.010000,11.258311,25.857169,11.394877,8.003755,0.345916,0.039079,0.177348
0.010000,11.337135,25.871255,11.474949,8.007218,0.346314,0.039822,0.176325
0.010000,11.416007,25.885265,11.555056,8.010685,0.346719,0.040507,0.175272
0.010000,11.494928,25.899198,11.635198,8.014157,0.347130,0.041098,0.174188
0.010000,11.573899,25.913049,11.715374,8.017632,0.347547,0.041695,0.173075
0.010000,11.652919,25.926817,11.795585,8.021112,0.347969,0.042219,0.171930
0.010000,11.731990,25.940500,11.875831,8.024596,0.348396,0.042690,0.170756
0.010000,11.811112,25.954094,11.956112,8.028084,0.348827,0.043106,0.169550
0.010000,11.890284,25.967598,12.036428,8.031577,0.349262,0.043464,0.168315
0.010000,11.969508,25.981008,12.116779,8.035074,0.349699,0.043764,0.167049
0.010000,12.048783,25.994323,12.197164,8.038575,0.350139,0.044003,0.165752
0.010000,12.128111,26.007540,12.277585,8.042081,0.350581,0.044179,0.164425
0.010000,12.207490,26.020656,12.358041,8.045591,0.351024,0.044314,0.163067
0.010000,12.286923,26.033668,12.438532,8.049106,0.351468,0.044327,0.161678
0.010000,12.366408,26.046574,12.519058,8.052625,0.351911,0.044308,0.160259
0.010000,12.445946,26.059373,12.599620,8.056149,0.352353,0.044255,0.158809
0.010000,12.525538,26.072060,12.680217,8.059676,0.352794,0.044048,0.157328
0.010000,12.605184,26.084633,12.760849,8.063209,0.353232,0.043833,0.155817
