dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,13.950251,23.965241,14.117887,7.670495,-0.358349,-0.033121,0.133343
0.010000,14.026250,23.975360,14.194556,7.666909,-0.358665,-0.031637,0.131396
0.010000,14.102232,23.985325,14.271189,7.663319,-0.358966,-0.030024,0.129418
0.010000,14.178199,23.995135,14.347787,7.659726,-0.359249,-0.028369,0.127408
0.010000,14.254149,24.004785,14.424348,7.656131,-0.359515,-0.026560,0.125367
0.010000,14.330084,24.014276,14.500873,7.652534,-0.359761,-0.024595,0.123295
0.010000,14.406002,24.023603,14.577363,7.648934,-0.359987,-0.022653,0.121191
0.010000,14.481905,24.032765,14.653816,7.645332,-0.360192,-0.020429,0.119056
0.010000,14.557791,24.041759,14.730233,7.641728,-0.360374,-0.018248,0.116889
0.010000,14.633661,24.050584,14.806614,7.638123,-0.360532,-0.015799,0.114691
0.010000,14.709514,24.059236,14.882960,7.634516,-0.360666,-0.013367,0.112461
0.010000,14.785351,24.067715,14.959269,7.630908,-0.360773,-0.010726,0.110200
0.010000,14.861170,24.076016,15.035542,7.627300,-0.360853,-0.007970,0.107907
0.010000,14.936973,24.084139,15.111779,7.623691,-0.360904,-0.005124,0.105583
0.010000,15.012759,24.092081,15.187979,7.620082,-0.360925,-0.002135,0.103228
0.010000,15.088528,24.099839,15.264144,7.616473,-0.360915,0.000994,0.100841
0.010000,15.164279,24.107411,15.340273,7.612864,-0.360873,0.004244,0.098422
0.010000,15.240012,24.114796,15.416365,7.609256,-0.360797,0.007626,0.095972
0.010000,15.315728,24.121990,15.492422,7.605649,-0.360685,0.011141,0.093490
0.010000,15.391425,24.128992,15.568442,7.602044,-0.360537,0.014790,0.090977
0.010000,15.467104,24.135799,15.644427,7.598440,-0.360352,0.018574,0.088433
0.010000,15.542764,24.142409,15.720375,7.594839,-0.360127,0.022496,0.085857
0.010000,15.618405,24.148821,15.796287,7.591240,-0.359861,0.026555,0.083249
0.010000,15.694027,24.155030,15.872164,7.587645,-0.359554,0.030753,0.080611
0.010000,15.769629,24.161037,15.948004,7.584053,-0.359203,0.035093,0.077941
0.010000,15.845212,24.166837,16.023809,7.580465,-0.358807,0.039575,0.075239
0.010000,15.920774,24.172429,16.099578,7.576881,-0.358365,0.044180,0.072507
0.010000,15.996316,24.177812,16.175311,7.573302,-0.357876,0.048948,0.069743
0.010000,16.071836,24.182981,16.251008,7.569729,-0.357337,0.053851,0.066948
0.010000,16.147335,24.187936,16.326670,7.566161,-0.356748,0.058901,0.064121
0.010000,16.222813,24.192675,16.402296,7.562600,-0.356107,0.064074,0.061264
0.010000,16.298268,24.197194,16.477886,7.559046,-0.355413,0.069409,0.058376
0.010000,16.373701,24.201492,16.553441,7.555499,-0.354664,0.074882,0.055457
0.010000,16.449110,24.205567,16.628961,7.551961,-0.353860,0.080491,0.052506
0.010000,16.524496,24.209417,16.704445,7.548431,-0.352997,0.086244,0.049526
0.010000,16.599858,24.213038,16.779894,7.544910,-0.352076,0.092139,0.046514
0.010000,16.675196,24.216431,16.855308,7.541399,-0.351094,0.098167,0.043472
0.010000,16.750509,24.219591,16.930687,7.537899,-0.350051,0.104344,0.040399
0.010000,16.825796,24.222517,17.006031,7.534409,-0.348944,0.110651,0.037295
0.010000,16.901057,24.225208,17.081341,7.530932,-0.347773,0.117088,0.034162
0.010000,16.976292,24.227660,17.156615,7.527466,-0.346536,0.123673,0.030998
0.010000,17.051500,24.229872,17.231855,7.524014,-0.345233,0.130386,0.027804
0.010000,17.126680,24.231841,17.307061,7.520575,-0.343860,0.137223,0.024580
0.010000,17.201831,24.233567,17.382233,7.517151,-0.342418,0.144191,0.021326
0.010000,17.276954,24.235046,17.457370,7.513742,-0.340906,0.151275,0.018042
0.010000,17.352048,24.236277,17.532474,7.510349,-0.339321,0.158510,0.014729
0.010000,17.427111,24.237257,17.607543,7.506972,-0.337662,0.165838,0.011386
0.010000,17.502143,24.237985,17.682580,7.503613,-0.335929,0.173290,0.008014
0.010000,17.577145,24.238459,17.757582,7.500272,-0.334121,0.180856,0.004613
0.010000,17.652114,24.238676,17.832552,7.496949,-0.332235,0.188532,0.001183
0.010000,17.727050,24.238635,17.907488,7.493647,-0.330272,0.196314,6.280909
0.010000,17.801953,24.238335,17.982392,7.490364,-0.328231,0.204169,6.277421
0.010000,17.876822,24.237772,18.057263,7.487103,-0.326109,0.212194,6.273905
0.010000,17.951656,24.236945,18.132101,7.483864,-0.323906,0.220254,6.270361
0.010000,18.026455,24.235852,18.206908,7.480648,-0.321622,0.228374,6.266788
0.010000,18.101217,24.234491,18.281683,7.477455,-0.319256,0.236658,6.263188
0.010000,18.175942,24.232861,18.356425,7.474287,-0.316806,0.244949,6.259560
0.010000,18.250629,24.230960,18.431137,7.471145,-0.314273,0.253376,6.255904
0.010000,18.325278,24.228786,18.505817,7.468028,-0.311655,0.261743,6.252222
0.010000,18.399887,24.226336,18.580467,7.464938,-0.308952,0.270353,6.248512
0.010000,18.474456,24.223611,18.655085,7.461877,-0.306163,0.278878,6.244776
0.010000,18.548984,24.220606,18.729674,7.458844,-0.303288,0.287490,6.241013
0.010000,18.623470,24.217322,18.804232,7.455841,-0.300326,0.296150,6.237224
0.010000,18.697913,24.213756,18.878761,7.452868,-0.297279,0.304765,6.233409
0.010000,18.772313,24.209906,18.953260,7.449926,-0.294143,0.313601,6.229568
0.010000,18.846668,24.205772,19.027730,7.447017,-0.290921,0.322220,6.225702
0.010000,18.920978,24.201351,19.102172,7.444141,-0.287610,0.331032,6.221811
0.010000,18.995242,24.196641,19.176585,7.441299,-0.284213,0.339682,6.217895
0.010000,19.069459,24.191642,19.250970,7.438492,-0.280729,0.348473,6.213955
0.010000,19.143628,24.186352,19.325327,7.435720,-0.277157,0.357148,6.209990
0.010000,19.217748,24.180768,19.399657,7.432985,-0.273498,0.365899,6.206002
0.010000,19.291818,24.174891,19.473959,7.430288,-0.269752,0.374582,6.201990
0.010000,19.365837,24.168717,19.548236,7.427628,-0.265922,0.383022,6.197955
0.010000,19.439804,24.162246,19.622486,7.425008,-0.262004,0.391808,6.193897
0.010000,19.513719,24.155477,19.696710,7.422428,-0.258002,0.400224,6.189816
0.010000,19.587581,24.148408,19.770909,7.419889,-0.253915,0.408696,6.185713
0.010000,19.661388,24.141037,19.845083,7.417392,-0.249745,0.416944,6.181589
0.010000,19.735139,24.133364,19.919232,7.414937,-0.245491,0.425482,6.177443
0.010000,19.808834,24.125387,19.993358,7.412525,-0.241157,0.433393,6.173276
0.010000,19.882471,24.117105,20.067459,7.410158,-0.236740,0.441646,6.169088
0.010000,19.956050,24.108517,20.141538,7.407835,-0.232245,0.449508,6.164880
0.010000,20.029569,24.099621,20.215593,7.405559,-0.227670,0.457561,6.160653
0.010000,20.103028,24.090416,20.289626,7.403329,-0.223020,0.464949,6.156405
0.010000,20.176425,24.080901,20.363638,7.401146,-0.218292,0.472818,6.152139
0.010000,20.249760,24.071076,20.437628,7.399011,-0.213491,0.480079,6.147854
0.010000,20.323031,24.060939,20.511597,7.396925,-0.208618,0.487306,6.143551
0.010000,20.396238,24.050488,20.585546,7.394888,-0.203673,0.494534,6.139230
0.010000,20.469379,24.039724,20.659475,7.392901,-0.198659,0.501356,6.134892
0.010000,20.542454,24.028645,20.733385,7.390965,-0.193578,0.508120,6.130536
0.010000,20.615461,24.017250,20.807276,7.389081,-0.188433,0.514450,6.126165
0.010000,20.688399,24.005538,20.881148,7.387249,-0.183223,0.521073,6.121777
0.010000,20.761267,23.993508,20.955003,7.385469,-0.177952,0.527038,6.117374
0.010000,20.834065,23.981161,21.028840,7.383743,-0.172625,0.532729,6.112956
0.010000,20.906791,23.968494,21.102661,7.382071,-0.167238,0.538741,6.108523
0.010000,20.979417,23.955511,21.176439,7.377769,-0.430204,-26.296587,6.104078
0.010000,21.051890,23.942224,21.250120,7.368107,-0.966160,-53.595625,6.099624
0.010000,21.124155,23.928641,21.323650,7.353042,-1.506556,-54.039611,6.095165
0.010000,21.196158,23.914775,21.396976,7.332576,-2.046524,-53.996822,6.090705
0.010000,21.267845,23.900638,21.470043,7.306715,-2.586109,-53.958443,6.086248
0.010000,21.339161,23.886244,21.542798,7.275462,-3.125358,-53.924976,6.081798
0.010000,21.410054,23.871606,21.615186,7.238818,-3.664323,-53.896473,6.077359
0.010000,21.480470,23.856742,21.687154,7.196788,-4.203047,-53.872420,6.072934
0.010000,21.550356,23.841667,21.758647,7.149372,-4.741578,-53.853126,6.068529
0.010000,21.619660,23.826399,21.829613,7.096572,-5.279969,-53.839005,6.064146
0.010000,21.688329,23.810955,21.899997,7.038390,-5.818261,-53.829228,6.059790
0.010000,21.756310,23.795356,21.969745,6.974825,-6.356501,-53.823999,6.055465
0.010000,21.823553,23.779621,22.038804,6.905878,-6.894734,-53.823305,6.051175
0.010000,21.890004,23.763772,22.107119,6.831548,-7.433000,-53.826628,6.046923
0.010000,21.955613,23.747830,22.174638,6.751834,-7.971345,-53.834463,6.042715
0.010000,22.020329,23.731818,22.241305,6.666736,-8.509805,-53.846004,6.038554
0.010000,22.084101,23.715759,22.307068,6.576252,-9.048412,-53.860736,6.034444
0.010000,22.146878,23.699678,22.371872,6.480380,-9.587209,-53.879696,6.030389
0.010000,22.208610,23.683600,22.435663,6.379118,-10.126218,-53.900933,6.026393
0.010000,22.269246,23.667550,22.498387,6.272463,-10.665476,-53.925780,6.022459
0.010000,22.328737,23.651554,22.559991,6.160413,-11.205002,-53.952587,6.018593
0.010000,22.387034,23.635640,22.620421,6.042965,-11.744820,-53.981834,6.014797
0.010000,22.444086,23.619835,22.679622,5.920115,-12.284951,-54.013044,6.011076
0.010000,22.499845,23.604167,22.737541,5.791861,-12.825413,-54.046258,6.007433
0.010000,22.554262,23.588665,22.794123,5.658199,-13.366211,-54.079730,6.003872
0.010000,22.607288,23.573357,22.849314,5.519125,-13.907361,-54.115046,6.000398
0.010000,22.658874,23.558272,22.903060,5.374637,-14.448870,-54.150863,5.997013
0.010000,22.708998,23.543434,22.955335,5.227406,-14.723090,-27.421986,5.993720
